Generation, Total number of conflicts
0, 286
1, 266
2, 122
3, 122
4, 122
5, 122
6, 122
7, 122
8, 122
9, 122
10, 122
11, 122
12, 122
13, 122
14, 122
15, 122
16, 122
17, 122
18, 122
19, 122
20, 122
21, 122
22, 122
23, 122
24, 122
25, 122
26, 122
27, 122
28, 122
29, 122
30, 122
31, 122
32, 122
33, 122
34, 122
35, 122
36, 122
37, 122
38, 122
39, 122
40, 122
41, 122
42, 122
43, 122
44, 122
45, 122
46, 122
47, 122
48, 122
49, 122
50, 122
51, 122
52, 122
53, 122
54, 122
55, 122
56, 122
57, 122
58, 122
59, 122
60, 218
61, 68
62, 56
63, 56
64, 56
65, 56
66, 56
67, 56
68, 56
69, 56
70, 56
71, 56
72, 56
73, 56
74, 56
75, 56
76, 56
77, 56
78, 56
79, 56
80, 116
81, 58
82, 26
83, 26
84, 26
85, 26
86, 26
87, 26
88, 26
89, 26
90, 26
91, 26
92, 26
93, 26
94, 26
95, 26
96, 26
97, 26
98, 26
99, 26
100, 64
101, 12
102, 10
103, 6
104, 6
105, 6
106, 6
107, 6
108, 6
109, 6
110, 6
111, 6
112, 6
113, 6
114, 6
115, 6
116, 6
117, 6
118, 6
119, 6
120, 18
121, 6
122, 18
123, 6
124, 18
125, 4
126, 0
127, 0
128, 0
129, 0
130, 0
131, 0
132, 0
133, 0
134, 0
135, 0
136, 0
137, 0
138, 0
139, 0
140, 0
141, 0
142, 0
143, 0
144, 0
145, 0
146, 0
147, 0
148, 0
149, 0
150, 0
151, 0
152, 0
153, 0
154, 0
155, 0
156, 0
157, 0
158, 0
159, 0
160, 0
161, 0
162, 0
163, 0
164, 0
165, 0
166, 0
167, 0
168, 0
169, 0
170, 0
171, 0
172, 0
173, 0
174, 0
175, 0
176, 0
177, 0
178, 0
179, 0
